abastecimento	fornecimento
abranja	inclua
abrasador	quente
acessório	objeto
acúmulo	concentração
adeptos	seguidores
adesão	aceitação
advento	surgimento
aferir	conferir
afligem	afetam
alarmado	inquieto
alastrar	espalhar
alcoolizado	bêbado
alheia	de outros
amostra	porção
amostras	porções
ampliação	aumento
ancestrais	antepassados
andanças	caminhadas
antídotos	remédios
antivirais	remédios
aparecimento	surgimento
aparelho	dispositivo
aparentemente	provavelmente
apearam	desmontaram
apenados	punidos
aperfeiçoou	melhorou
apetitosas	saborosas
apreensão	preocupação
argumenta	alega
argumentam	alegam
armada	criada
armazenamento	depósito
arregimentada	agrupada
arregimentados	agrupados
artefatos	objetos
assegura	garante
assimetria	diferença
associado	ligado
atualmente	hoje em dia
beneficiadas	favorecidas
blitze	fiscalização
bobagens	besteiras
branda	fraca
busto	estátua
cadastrados	registrados
calefação	aquecimento
capitaneados	chefiados
cardíaco	do coração
cautelosos	cuidadosos
celebração	comemoração
cepas	linhagens
chancela	aprovação
científico	tecnológico
clínicas	médicas
colaboradores	funcionários
colapso	crise
colisão	batida
comercializar	vender
compilaram	reuniram
compulsório	obrigatório
computando	avaliando
concentração	quantidade
concorrência	competição
concretização	realização
conduta	maneira
confeccionar	produzir
conferência	reunião
conferido	verificado
confinamento	prisão
conjecturas	hipóteses
constantemente	frequentemente
constatar	perceber
constataram	perceberam
contagem	número
contenção	restrição
contíguas	ligadas
contraditório	incoerente
contrariam	negam
controvérsia	polêmica
controvérsias	discussões
contusão	lesão
convencionais	habituais
conversão	transformação
coordenado	organizado
coordenam	organizam
correção	reparação
correções	reparos
cronista	historiador
crucial	crítico
custear	pagar
danificar	quebrar
debatidas	discutidas
debilitado	doente
declínio	caimento
decorrem	acontecem
decorrência	consequência
degradação	destruição
delegação	comissão
depredação	devastação
desaparecidos	sumidos
descontraído	alegre
descrença	desconfiança
desengonçado	atrapalhado
desgaste	deterioração
despencaram	caíram
despistado	enganado
destroços	restos
desvincular	desligar
determinação	decisão
detritos	restos
diagnóstico	reconhecimento
dispositivo	aparelho
dissiparia	espalharia
divergência	discordância
diversidade	variedade
efêmera	breve
efetiva	eficaz
efetuada	feita
eficiência	eficácia
elucidar	explicar
emanava	emitia
emissário	mensageiro
encaminhado	enviado
endosso	apoio
enquadrada	classificada
ensombrecendo	escurecendo
entretenimento	diversão
eqüinos	cavalos
equiparar	igualar
erguida	construída
escalados	chamados
escalões	níveis
escassez	carência
escrivaninha	mesa
espectadores	pessoas
espreitam	observam
estimado	avaliado
estimam	calculam
estimar	avaliar
estimativa	avaliação
estimativas	suposições
estruturada	organizada
etária	de idade
evidência	indício
evidências	provas
exorbitante	elevada
expandir	aumentar
expedição	viagem
experimento	teste
experimentos	testes
expropriar	desapropriar
fascinada	encantada
fermentou	estimulou
ferroadas	picadas
financiado	custeado
fiscalização	inspeção
flutuações	variações
formatação	criação
fracassado	malsucedido
fragmentos	pedaços
frear	parar
fruto	resultado
funcionários	empregados
fundação	base
furtado	roubado
gastrointestinais	intestinais
genética	gênica
gestão	administração
grupo	equipe
ilustre	importante
imitações	cópias
impacto	efeito
impecáveis	perfeitos
impetrada	solicitada
implicações	consequências
inabalável	firme
incondicional	total
incremento	aumento
indelével	permanente
indignação	revolta
infectadas	contaminadas
infectados	contaminados
infectam	contaminam
infectou	contaminou
inflamado	entusiasmado
inibir	impedir
inquietam	incomodam
insólito	incomum
inspeção	verificação
institui	cria
integrado	incluído
interditada	fechada
intervir	interferir
inviável	impossível
isoladamente	sozinha
itens	produtos
lacuna	brecha
lampejos	ideias
latrinas	privadas
legenda	partido
legítimos	verdadeiros
leigos	inexperientes
letárgico	lento
liderada	comandada
liderados	chefiados
linhagem	geração
localismo	regionalismo
luminosidade	claridade
maçantes	chatas
maciça	densa
maciças	densas
malentendido	conflito
manutenção	conservação
mariscos	moluscos
matador	assassino
matéria	assunto
matriarca	mãe
melancolia	tristeza
melancólico	triste
mero	simples
minimizado	diminuído
miscigenada	mestiça
monitorar	vigiar
montada	construída
mordomias	vantagens
mortandade	mortalidade
motivou	causou
noticiados	informados
notificação	comunicação
notificados	informados
ocupantes	passageiros
orbitando	circulando
oscilam	variam
panificadora	padaria
paradoxo	contradição
parceiros	aliados
parceria	colaboração
parlamentar	deputado
parlamentares	congressistas
particularidades	características
patamar	nível
patrulha	ronda
pedestal	suporte
percurso	caminho
persistem	continuam
pesarosa	triste
pleitos	debates
polêmico	controverso
pontífice	bispo
possivelmente	provavelmente
postergado	adiado
postulante	candidato
precaução	cuidado
precipitada	impulsiva
predatória	destruidora
premier	primeiro ministro
previsíveis	presumíveis
primórdios	inícios
principalmente	especialmente
procedimentos	métodos
profusão	abundância
progressiva	gradual
propícia	favorável
propício	favorável
proporcionar	fornecer
proprietária	dona
protagonizam	estrelam
protuberantes	salientes
prudência	cautela
pujante	forte
punhado	pouco
questão	pergunta
quitutes	petiscos
rastreou	investigou
rechaçada	rejeitada
redobrada	aumentada
redutos	abrigos
reduzir	diminuir
reflexão	meditação
regulamentar	regular
reivindicações	exigências
relatos	informações
relevantes	importantes
rentabilidade	lucratividade
reparos	consertos
requereu	pediu
requinte	elegância
resolução	solução
ressalta	destaca
ressalva	observação
ressuscitar	reviver
restrição	limitação
restrições	limitações
restringe	limita
restringiu	limitou
restritas	limitadas
restrito	limitado
revezados	alternados
revisar	rever
revista	revisada
rigor	dureza
rodízio	revezamento
sanções	punições
sedimentos	resíduos
segmento	pedaço
selecionado	escolhido
sensores	detectores
seqüela	consequência
sequenciar	organizar
sigla	partido
significativa	considerável
simulações	estudos
simultâneas	conjuntas
sofisticado	refinado
solucione	resolva
sondagem	pesquisa
sonoridade	melodia
submetida	levada
submetido	sujeito
subordinação	submissão
subumanas	desumano
superem	ultrapassem
sussurrando	cochichando
suvenires	lembranças
terraplenado	plano
trafegava	transitava
transferência	mudança
transparência	clareza
travado	preso
triturar	moer
turbulência	agitação
turbulenta	agitada
turbulentas	agitadas
vanguarda	frente
vasculhar	investigar
verter	derramar
vias	ruas
vulnerável	frágil
